Country,Cases,Deaths,Region
,,,
United States,5569520,173143,North America
,,,
Brazil,3340197,107879,South America
,,,
India,2661396,51176,Asia
,,,
Russia,927745,15740,Europe
,,,
South Africa,587345,11839,Africa
,,,
Peru,535946,26281,South America
,,,
Mexico,522162,56757,North America
,,,
Colombia,468332,15097,South America
,,,
Chile,385946,10452,South America
,,,
Spain,358843,28617,Europe
,,,
Iran,345450,19804,Asia
,,,
United Kingdom,319197,41369,Europe
,,,
Saudi Arabia,299914,3436,Asia
,,,
Argentina,294569,5703,South America
,,,
Pakistan,289215,6175,Asia
,,,
Bangladesh,279144,3694,Asia
,,,
Italy,253915,35396,Europe
,,,
Turkey,249309,5974,Asia
,,,
Germany,225696,9292,Europe
,,,
France,218536,30410,Europe
,,,
Iraq,176931,5860,Asia
,,,
Philippines,164474,2681,Asia
,,,
Indonesia,141370,6207,Asia
,,,
Canada,122087,9026,North America
,,,
Qatar,115368,193,Asia
,,,
Kazakhstan,103033,1269,Asia
,,,
Ecuador,101542,6070,South America
,,,
Bolivia,100344,4058,South America
,,,
Egypt,96475,5160,Africa
,,,
Israel,93691,690,Asia
,,,
Ukraine,92820,2089,Europe
,,,
Dominican Republic,86309,1453,North America
,,,
Sweden,85045,5787,Europe
,,,
China,84849,4634,Asia
,,,
Oman,83226,588,Asia
,,,
Panama,81940,1767,North America
,,,
Belgium,78323,9939,Europe
,,,
Kuwait,76827,502,Asia
,,,
Romania,71194,3029,Europe
,,,
Belarus,69589,613,Europe
,,,
United Arab Emirates,64541,364,Asia
,,,
Netherlands,63484,6172,Europe
,,,
Guatemala,62562,2379,North America
,,,
Poland,57279,1885,Europe
,,,
Singapore,55838,27,Asia
,,,
Japan (+Diamond Princess),55426,1101,Asia
,,,
Portugal,54234,1779,Europe
,,,
Honduras,50502,1575,North America
,,,
Nigeria,49068,975,Africa
,,,
Bahrain,46835,172,Asia
,,,
Ghana,42653,239,Africa
,,,
Morocco,42489,658,Africa
,,,
Kyrgyzstan,41991,1496,Asia
,,,
Armenia,41701,824,Asia
,,,
Algeria,38583,1370,Africa
,,,
Switzerland,38252,1991,Europe
,,,
Afghanistan,37599,1375,Asia
,,,
Uzbekistan,35513,234,Asia
,,,
Azerbaijan,34219,506,Asia
,,,
Venezuela,33755,281,South America
,,,
Kenya,30365,482,Africa
,,,
Moldova,30183,896,Europe
,,,
Ethiopia,29876,528,Africa
,,,
Serbia,29782,677,Europe
,,,
Costa Rica,28465,294,North America
,,,
Ireland,27257,1774,Europe
,,,
Nepal,27241,107,Asia
,,,
Australia,23559,421,Australia/Oceania
,,,
Austria,23534,729,Europe
,,,
El Salvador,22912,618,North America
,,,
Czech Republic (Czechia),20012,397,Europe
,,,
Cameroon,18469,401,Africa
,,,
Côte d'Ivoire,17026,110,Africa
,,,
State of Palestine,16534,110,Asia
,,,
Bosnia and Herzegovina,16111,486,Europe
,,,
Denmark,15740,621,Europe
,,,
South Korea,15515,305,Asia
,,,
Bulgaria,14365,498,Europe
,,,
Madagascar,13886,171,Africa
,,,
North Macedonia,12739,544,Europe
,,,
Sudan,12410,803,Africa
,,,
Senegal,12237,256,Africa
,,,
Norway,10035,261,Europe
,,,
Paraguay,9791,138,South America
,,,
DR Congo,9676,240,Africa
,,,
Zambia,9343,260,Africa
,,,
Malaysia,9212,125,Asia
,,,
Lebanon,8881,103,Asia
,,,
French Guiana,8588,53,South America
,,,
Guinea,8482,51,Africa
,,,
Gabon,8225,51,Africa
,,,
Libya,8172,153,Africa
,,,
Tajikistan,8065,64,Asia
,,,
Haiti,7879,196,North America
,,,
Finland,7752,334,Europe
,,,
Luxembourg,7458,123,Europe
,,,
Albania,7380,228,Europe
,,,
Greece,7075,228,Europe
,,,
Mauritania,6701,157,Africa
,,,
Croatia,6656,166,Europe
,,,
Maldives,5785,22,Asia
